memory_ratio,compress_ratio,miss_cost,load_dist,min_lat_pc_size,min_lat_pc_size_gb,min_lat,zero_ac_lat,zero_pc_lat,zero_ac_lat_to_min_lat,zero_pc_lat_to_min_lat,d_u,d_c
0.15,0.9,10,1,0.15,0.1667,343997565.0,343997565.0,369755769.0,1.0,1.0748790300303435,6.6667,6.0
0.15,0.9,50,0,0.0,0.0,731516997.0,805529398.0,731516997.0,1.1011765978145822,1.0,6.6667,6.0
0.15,0.9,50,1,0.0,0.0,481216009.0,543996980.0,481216009.0,1.1304631804134346,1.0,6.6667,6.0
0.15,0.9,100,0,0.0,0.0,944071547.0,1055529398.0,944071547.0,1.1180608094314275,1.0,6.6667,6.0
0.15,0.9,100,1,0.0,0.0,620541309.0,793996495.0,620541309.0,1.2795223838998284,1.0,6.6667,6.0
0.15,0.95,10,0,0.0,0.0,563811250.0,614780201.0,563811250.0,1.0904007342882924,1.0,6.6667,6.3334
0.15,0.95,10,1,0.15,0.1579,368141127.0,368141127.0,371288355.0,1.0,1.0085489714926634,6.6667,6.3334
0.15,0.95,50,0,0.0,0.0,733854890.0,814780201.0,733854890.0,1.110274268254859,1.0,6.6667,6.3334
0.15,0.95,50,1,0.0,0.0,482748595.0,568139916.0,482748595.0,1.1768856955451108,1.0,6.6667,6.3334
0.15,0.95,100,0,0.0,0.0,946409440.0,1064780201.0,946409440.0,1.125073521033349,1.0,6.6667,6.3334
0.15,0.95,100,1,0.0,0.0,622073895.0,818139022.0,622073895.0,1.3151798019108325,1.0,6.6667,6.3334
